Unique_ID,Taxa,Species,x_g,y_g,Reference,Group,Order,Family,Genus,Notes
1563,Protist,Bursaridium difficile,0.000000152,0.000047158,Rose & Caron 2007,Protist,Bursariomorphida,Bursaridiidae,Bursaridium,
1564,Protist,Caecitellus parvulus,4.8E-11,3.3288E-08,Rose & Caron 2007,Protist,Bicosoecida,Siluaniidae,Caecitellus,
1565,Protist,Cafeteria roenbergensis,1.48E-10,6.86054E-08,Rose & Caron 2007,Protist,Bicosoecida,Cafeteriidae,Cafeteria,
1566,Protist,Chilodonella uncinata,6.17E-09,4.32394E-06,Rose & Caron 2007,Protist,Chlamydodontida,Chilodonellidae,Chilodonella,
1567,Protist,Clydonella rosenfieldi,4.66E-10,2.27921E-07,Rose & Caron 2007,Protist,Vannellida,Vannellidae,Clydonella,
1568,Protist,Cochliopodium minus,3.25E-09,0.000001898,Rose & Caron 2007,Protist,Himatismenida,Cochliopodiidae,Cochliopodium,
1569,Protist,Colpidium campylum,2.15E-08,1.04372E-05,Rose & Caron 2007,Protist,Tetrahymenida,Turaniellidae,Colpidium,
1570,Protist,Condylostoma arenarium,0.00000176,0.000250536,Rose & Caron 2007,Protist,Heterotrichida,Condylostomatidae,Condylostoma,
1571,Protist,Condylostoma patulum,0.000000548,7.40074E-05,Rose & Caron 2007,Protist,Heterotrichida,Condylostomatidae,Condylostoma,
1572,Protist,Cyclidium glaucoma,2.44E-09,2.11072E-06,Rose & Caron 2007,Protist,Pleuronematida,Cyclidiidae,Cyclidium,
1573,Protist,Cyclidium sp.,8.87E-10,1.24322E-06,Rose & Caron 2007,Protist,Pleuronematida,Cyclidiidae,Cyclidium,
1574,Protist,Dactylamoeba sp.,2.59E-09,4.63222E-07,Rose & Caron 2007,Protist,Dactylopodida,Paramoebidae,Dactylamoeba,
1575,Protist,Diophrys scutum,0.000000149,5.05781E-05,Rose & Caron 2007,Protist,Euplotida,Uronychiidae,Diophrys,
1576,Protist,Entosiphon sulcatum,1.08E-09,1.2299E-06,Rose & Caron 2007,Protist,Peranemida,,Entosiphon,
1577,Protist,Euplotes antarcticus,0.00000026,0.000097747,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1578,Protist,Euplotes balteatus,0.000000012,1.58994E-05,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1579,Protist,Euplotes crassus,0.000000139,9.94406E-05,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1580,Protist,Euplotes eurystomus,0.00000026,0.000042705,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1581,Protist,Euplotes focardii,0.00000026,0.000088257,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1582,Protist,Euplotes harpa,0.000000196,3.29084E-05,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1583,Protist,Euplotes minuta,0.000000083,6.99815E-05,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1584,Protist,Euplotes sp.,0.00000026,0.000048399,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1585,Protist,Euplotes trisulcatus,9.97E-08,0.000019287,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1586,Protist,Euplotes vannus,0.00000019,0.000120669,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1587,Protist,Euplotes woodruffii,0.00000026,0.000063583,Rose & Caron 2007,Protist,Euplotida,Euplotidae,Euplotes,
1588,Protist,Fabrea salina,0.00000102,0.000264333,Rose & Caron 2007,Protist,Heterotrichida,Climacostomidae,Fabrea,
1589,Protist,Favella azorica,0.000000102,0.000089352,Rose & Caron 2007,Protist,Tintinnida,Xystonellidae,Favella,
1590,Protist,Favella ehrenbergii,0.000000102,2.94117E-05,Rose & Caron 2007,Protist,Tintinnida,Xystonellidae,Favella,
1591,Protist,Favella sp.,0.000000102,5.77065E-05,Rose & Caron 2007,Protist,Tintinnida,Xystonellidae,Favella,
1592,Protist,Favella taraikaensis,0.000000102,0.000096798,Rose & Caron 2007,Protist,Tintinnida,Xystonellidae,Favella,
1593,Protist,Glaseria mira,4.17E-10,5.55548E-07,Rose & Caron 2007,Protist,,,Glaseria,
1594,Protist,Gymnodinium sp.,1.68E-10,1.00565E-07,Rose & Caron 2007,Protist,Gymnodiniales,Gymnodiniaceae,Gymnodinium,
1595,Protist,Gyrodinium dominans,2.51E-08,1.52997E-05,Rose & Caron 2007,Protist,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
1596,Protist,Gyrodinium fusiforme,0.000000024,7.3584E-06,Rose & Caron 2007,Protist,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
1597,Protist,Halteria sp.,1.06E-08,5.30053E-06,Rose & Caron 2007,Protist,Halteriida,Halteriidae,Halteria,
1598,Protist,Holosticha sp,0.000000117,3.62993E-05,Rose & Caron 2007,Protist,Urostylida,Urostylidae,Holosticha,
1599,Protist,Hymenostome ciliate,0.000000019,2.94738E-05,Rose & Caron 2007,Protist,Hymenostomatida,,Hymenostome,
1600,Protist,Jakoba libera,3.5E-11,7.9205E-09,Rose & Caron 2007,Protist,Jakobida,Jakobidae,Jakoba,
1601,Protist,Katodinium glaucum,0.000000024,2.4528E-06,Rose & Caron 2007,Protist,Gymnodiniales,Gymnodiniaceae,Katodinium,
